analysis_key,model_name,threshold_name,metric_name,repetitions_expected,repetitions_valid,repetitions_invalid,mean,sd,median,p2_5,p97_5,minimum,maximum,interval_label
2y,decision_tree_shallow,TRAIN_EVENT_RATE,balanced_accuracy,100,100,0,0.5769444444444444,0.03807939129791734,0.5815972222222222,0.49014756944444443,0.6458333333333334,0.4704861111111111,0.6545138888888888,distribuicao descritiva entre repeticoes
2y,decision_tree_shallow,TRAIN_EVENT_RATE,f1,100,100,0,0.30605099869035324,0.022817054025964616,0.3084853291038858,0.25430166912125673,0.34615384615384615,0.2391304347826087,0.3541666666666667,distribuicao descritiva entre repeticoes
2y,decision_tree_shallow,TRAIN_EVENT_RATE,negative_predictive_value,100,100,0,0.9268089960982077,0.04301841574298701,0.9333333333333333,0.8308333333333334,1.0,0.8076923076923077,1.0,distribuicao descritiva entre repeticoes
2y,decision_tree_shallow,TRAIN_EVENT_RATE,positive_predictive_value,100,100,0,0.1857283819026436,0.014392770941718262,0.1864298492205469,0.1542566393646066,0.20930232558139536,0.14772727272727273,0.21794871794871795,distribuicao descritiva entre repeticoes
2y,decision_tree_shallow,TRAIN_EVENT_RATE,sensitivity,100,100,0,0.8755555555555558,0.08867820148931176,0.8888888888888888,0.6666666666666666,1.0,0.6111111111111112,1.0,distribuicao descritiva entre repeticoes
2y,decision_tree_shallow,TRAIN_EVENT_RATE,specificity,100,100,0,0.2783333333333334,0.07469248122027913,0.2916666666666667,0.14583333333333334,0.4013020833333332,0.10416666666666667,0.4270833333333333,distribuicao descritiva entre repeticoes
2y,logistic_core_ridge,FIXED_0_5,accuracy,100,100,0,0.839736842105263,0.00889117950843565,0.8421052631578947,0.8245614035087719,0.8508771929824561,0.7894736842105263,0.8596491228070176,distribuicao descritiva entre repeticoes
2y,logistic_core_ridge,FIXED_0_5,balanced_accuracy,100,100,0,0.5159722222222222,0.022590343643240366,0.517361111111111,0.4895833333333333,0.5704427083333333,0.4895833333333333,0.6006944444444444,distribuicao descritiva entre repeticoes
2y,logistic_core_ridge,FIXED_0_5,f1,100,100,0,0.07242931972680257,0.07951479776869813,0.09523809523809523,0.0,0.25570652173913033,0.0,0.3333333333333333,distribuicao descritiva entre repeticoes
2y,logistic_core_ridge,FIXED_0_5,negative_predictive_value,100,100,0,0.8464844648080592,0.006237522720855025,0.8468468468468469,0.8392857142857143,0.8617800713557595,0.8392857142857143,0.8703703703703703,distribuicao descritiva entre repeticoes
2y,logistic_core_ridge,FIXED_0_5,positive_predictive_value,100,75,25,0.3998888888888889,0.3173075938409119,0.5,0.0,1.0,0.0,1.0,distribuicao descritiva entre repeticoes
2y,logistic_core_ridge,FIXED_0_5,sensitivity,100,100,0,0.042777777777777776,0.049220764179229576,0.05555555555555555,0.0,0.16666666666666666,0.0,0.2222222222222222,distribuicao descritiva entre repeticoes
2y,logistic_core_ridge,FIXED_0_5,specificity,100,100,0,0.9891666666666667,0.01097214230887662,0.9895833333333334,0.96875,1.0,0.9270833333333334,1.0,distribuicao descritiva entre repeticoes
2y,logistic_core_ridge,TRAIN_EVENT_RATE,accuracy,100,100,0,0.681666666666667,0.02865700499457371,0.6842105263157895,0.6228070175438597,0.7326754385964912,0.6140350877192983,0.7368421052631579,distribuicao descritiva entre repeticoes
2y,logistic_core_ridge,TRAIN_EVENT_RATE,balanced_accuracy,100,100,0,0.6816666666666668,0.037339555236671984,0.6875,0.5919270833333333,0.7318142361111111,0.5677083333333333,0.7430555555555556,distribuicao descritiva entre repeticoes
2y,logistic_core_ridge,TRAIN_EVENT_RATE,f1,100,100,0,0.40390291632904485,0.03855361724783466,0.4097390368576809,0.31406249999999997,0.4617827868852459,0.2903225806451613,0.4666666666666667,distribuicao descritiva entre repeticoes
2y,logistic_core_ridge,TRAIN_EVENT_RATE,negative_predictive_value,100,100,0,0.919515813354931,0.015618167106709203,0.92,0.88075,0.942463768115942,0.8714285714285714,0.9444444444444444,distribuicao descritiva entre repeticoes
2y,logistic_core_ridge,TRAIN_EVENT_RATE,positive_predictive_value,100,100,0,0.28736563266639886,0.02960983645360092,0.2926829268292683,0.22208498023715414,0.3333333333333333,0.20454545454545456,0.34210526315789475,distribuicao descritiva entre repeticoes
2y,logistic_core_ridge,TRAIN_EVENT_RATE,sensitivity,100,100,0,0.6816666666666669,0.06407952332757333,0.6666666666666666,0.5,0.7777777777777778,0.5,0.7777777777777778,distribuicao descritiva entre repeticoes
2y,logistic_core_ridge,TRAIN_EVENT_RATE,specificity,100,100,0,0.6816666666666665,0.030136590472338083,0.6875,0.61953125,0.7395833333333334,0.6041666666666666,0.75,distribuicao descritiva entre repeticoes
2y,logistic_parsimonious,FIXED_0_5,accuracy,100,100,0,0.8343478260869562,0.010368328872489702,0.8347826086956521,0.8173913043478261,0.8521739130434782,0.782608695652174,0.8608695652173913,distribuicao descritiva entre repeticoes
2y,logistic_parsimonious,FIXED_0_5,balanced_accuracy,100,100,0,0.546168384879725,0.03180963346951076,0.54524627720504,0.4845360824742268,0.6131156930126003,0.4845360824742268,0.618270332187858,distribuicao descritiva entre repeticoes
2y,logistic_parsimonious,FIXED_0_5,f1,100,100,0,0.18587443615299687,0.09169201593537149,0.18181818181818182,0.0,0.35714285714285715,0.0,0.37037037037037035,distribuicao descritiva entre repeticoes
2y,logistic_parsimonious,FIXED_0_5,negative_predictive_value,100,100,0,0.8564422361019877,0.009080016334665113,0.8558558558558559,0.8392857142857143,0.8761904761904762,0.8392857142857143,0.8773584905660378,distribuicao descritiva entre repeticoes
2y,logistic_parsimonious,FIXED_0_5,positive_predictive_value,100,100,0,0.3854808802308803,0.1462215804091945,0.41428571428571426,0.0,0.6349999999999993,0.0,0.75,distribuicao descritiva entre repeticoes
2y,logistic_parsimonious,FIXED_0_5,sensitivity,100,100,0,0.12666666666666665,0.07021957971416391,0.1111111111111111,0.0,0.2777777777777778,0.0,0.2777777777777778,distribuicao descritiva entre repeticoes
2y,logistic_parsimonious,FIXED_0_5,specificity,100,100,0,0.9656701030927836,0.01335391346271842,0.9690721649484536,0.9484536082474226,0.9896907216494846,0.9072164948453608,0.9896907216494846,distribuicao descritiva entre repeticoes
