"time_days","time_years","n_risk","n_event","n_censor","survival","std_error","lower_95","upper_95","stratum"
1029,2.81724845995893,68,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
1041,2.85010266940452,67,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
1059,2.8993839835729,66,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
1060,2.90212183436003,65,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
1085,2.97056810403833,64,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
1096,3.00068446269678,63,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
1101,3.01437371663244,62,1,0,0.847682004264519,0.0309729918731805,0.775002854056139,0.898404452354643,"Global"
1127,3.08555783709788,61,0,1,0.847682004264519,0.0309729918731805,0.775002854056139,0.898404452354643,"Global"
1140,3.1211498973306,60,0,1,0.847682004264519,0.0309729918731805,0.775002854056139,0.898404452354643,"Global"
1142,3.12662559890486,59,0,1,0.847682004264519,0.0309729918731805,0.775002854056139,0.898404452354643,"Global"
1143,3.12936344969199,58,0,1,0.847682004264519,0.0309729918731805,0.775002854056139,0.898404452354643,"Global"
1180,3.23066392881588,57,1,0,0.832810390154615,0.0338119171974789,0.753793940393432,0.888320810809122,"Global"
1192,3.26351813826146,56,0,1,0.832810390154615,0.0338119171974789,0.753793940393432,0.888320810809122,"Global"
1201,3.28815879534565,55,0,1,0.832810390154615,0.0338119171974789,0.753793940393432,0.888320810809122,"Global"
1202,3.29089664613279,54,0,1,0.832810390154615,0.0338119171974789,0.753793940393432,0.888320810809122,"Global"
1246,3.4113620807666,53,0,1,0.832810390154615,0.0338119171974789,0.753793940393432,0.888320810809122,"Global"
1250,3.42231348391513,52,0,1,0.832810390154615,0.0338119171974789,0.753793940393432,0.888320810809122,"Global"
1330,3.64134154688569,51,0,1,0.832810390154615,0.0338119171974789,0.753793940393432,0.888320810809122,"Global"
1363,3.73169062286105,50,0,1,0.832810390154615,0.0338119171974789,0.753793940393432,0.888320810809122,"Global"
1367,3.74264202600958,49,0,1,0.832810390154615,0.0338119171974789,0.753793940393432,0.888320810809122,"Global"
1370,3.75085557837098,48,0,2,0.832810390154615,0.0338119171974789,0.753793940393432,0.888320810809122,"Global"
1375,3.76454483230664,46,0,1,0.832810390154615,0.0338119171974789,0.753793940393432,0.888320810809122,"Global"
